No,窗口开始 (ET),结果,开盘价 ($),结算价 ($),成交量 ($)
1382,04-16 00:10:00,Up,74931.79,74935.16,73063.03
1383,04-16 00:15:00,Up,74935.16,75011.09,95385.06
1384,04-16 00:20:00,Up,75011.09,75063.66,93225.60
1385,04-16 00:25:00,Up,75063.66,75079.25,233598.02
1386,04-16 00:30:00,Up,75079.25,75116.30,122732.09
1387,04-16 00:35:00,Up,75116.30,75126.52,168648.16
1388,04-16 00:40:00,Down,75126.52,75069.96,116848.24
1389,04-16 00:45:00,Down,75069.96,75051.58,100369.42
1390,04-16 00:50:00,Up,75051.58,75068.69,81058.52
1391,04-16 00:55:00,Down,75068.69,75054.73,80985.30
1392,04-16 01:00:00,Down,75054.73,75034.17,131234.61
1393,04-16 01:05:00,Up,75034.17,75092.72,123988.29
1394,04-16 01:10:00,Down,75092.72,75025.38,93527.51
1395,04-16 01:15:00,Up,75025.38,75086.88,121287.79
1396,04-16 01:20:00,Down,75086.88,75054.45,99108.97
1397,04-16 01:25:00,Down,75054.45,75031.28,156442.80
1398,04-16 01:30:00,Down,75031.28,74997.84,77455.96
1399,04-16 01:35:00,Up,74997.84,75016.78,79559.37
1400,04-16 01:40:00,Down,75016.78,74948.17,106283.46
1401,04-16 01:45:00,Up,74948.17,75005.96,130762.57
1402,04-16 01:50:00,Down,75005.96,74990.63,90819.74
1403,04-16 01:55:00,Up,74990.63,75044.24,76923.75
1404,04-16 02:00:00,Up,75044.24,75068.48,102433.31
1405,04-16 02:05:00,Down,75068.48,74987.41,102729.38
1406,04-16 02:10:00,Down,74987.41,74918.08,81683.74
1407,04-16 02:15:00,Up,74918.08,74926.58,258317.04
1408,04-16 02:20:00,Down,74926.58,74916.58,422493.00
1409,04-16 02:25:00,Down,74916.58,74912.32,89695.42
1410,04-16 02:30:00,Down,74912.32,74896.29,103696.69
1411,04-16 02:35:00,Down,74896.29,74875.48,73072.03
1412,04-16 02:40:00,Down,74875.48,74870.13,142037.93
1413,04-16 02:45:00,Down,74870.13,74776.40,105072.86
1414,04-16 02:50:00,Down,74776.40,74663.69,152676.47
1415,04-16 02:55:00,Up,74663.69,74717.54,150348.82
1416,04-16 03:00:00,Down,74717.54,74631.69,130157.77
1417,04-16 03:05:00,Down,74631.69,74550.88,128633.36
1418,04-16 03:10:00,Down,74550.88,74546.29,174735.80
1419,04-16 03:15:00,Up,74546.29,74641.28,74700.97
1420,04-16 03:20:00,Up,74641.28,74690.42,60779.17
1421,04-16 03:25:00,Up,74690.42,74700.48,90693.05
1422,04-16 03:30:00,Up,74700.48,74717.42,91770.93
1423,04-16 03:35:00,Down,74717.42,74676.32,65334.19
1424,04-16 03:40:00,Up,74676.32,74686.77,98566.58
1425,04-16 03:45:00,Up,74686.77,74731.58,71203.44
1426,04-16 03:50:00,Down,74731.58,74700.15,57471.10
1427,04-16 03:55:00,Down,74700.15,74685.08,81334.01
1428,04-16 04:00:00,Up,74685.08,74747.78,79676.80
1429,04-16 04:05:00,Down,74747.78,74738.85,94289.49
1430,04-16 04:10:00,Up,74738.85,74756.87,74866.04
1431,04-16 04:15:00,Up,74756.87,74838.64,71123.37
1432,04-16 04:20:00,Up,74838.64,74885.31,79984.69
1433,04-16 04:25:00,Down,74885.31,74834.00,95966.31
1434,04-16 04:30:00,Down,74834.00,74775.22,90276.95
1435,04-16 04:35:00,Up,74775.22,74791.70,74029.13
1436,04-16 04:40:00,Down,74791.70,74709.80,79917.46
1437,04-16 04:45:00,Down,74709.80,74625.03,81648.76
1438,04-16 04:50:00,Up,74625.03,74652.52,80891.33
1439,04-16 04:55:00,Down,74652.52,74605.85,83658.58
1440,04-16 05:00:00,Down,74605.85,74586.66,142738.34
1441,04-16 05:05:00,Down,74586.66,74559.14,129342.42
1442,04-16 05:10:00,Down,74559.14,74429.93,137732.45
1443,04-16 05:15:00,Down,74429.93,74360.95,121328.98
1444,04-16 05:20:00,Up,74360.95,74450.48,87733.48
1445,04-16 05:25:00,Up,74450.48,74467.39,90335.11
1446,04-16 05:30:00,Up,74467.39,74476.15,115359.73
1447,04-16 05:35:00,Down,74476.15,74463.39,88919.39
1448,04-16 05:40:00,Down,74463.39,74398.73,97481.19
1449,04-16 05:45:00,Down,74398.73,74282.45,143333.34
1450,04-16 05:50:00,Up,74282.45,74350.51,76904.62
1451,04-16 05:55:00,Down,74350.51,74315.70,107014.39
1452,04-16 06:00:00,Up,74315.70,74379.86,97057.63
1453,04-16 06:05:00,Down,74379.86,74317.41,77455.47
1454,04-16 06:10:00,Up,74317.41,74323.96,114012.30
1455,04-16 06:15:00,Down,74323.96,74292.28,86424.36
1456,04-16 06:20:00,Up,74292.28,74320.87,86975.45
1457,04-16 06:25:00,Up,74320.87,74384.96,84103.88
1458,04-16 06:30:00,Up,74384.96,74438.86,152110.81
1459,04-16 06:35:00,Down,74438.86,74418.96,161164.96
1460,04-16 06:40:00,Up,74418.96,74455.61,92256.71
1461,04-16 06:45:00,Up,74455.61,74475.87,102139.23
1462,04-16 06:50:00,Up,74475.87,74553.55,107760.99
1463,04-16 06:55:00,Up,74553.55,74580.60,107579.98
1464,04-16 07:00:00,Up,74580.60,74746.80,116549.48
1465,04-16 07:05:00,Down,74746.80,74664.20,111067.58
1466,04-16 07:10:00,Up,74664.20,74751.96,135136.51
1467,04-16 07:15:00,Up,74751.96,74757.01,120595.85
1468,04-16 07:20:00,Down,74757.01,74704.21,99884.56
1469,04-16 07:25:00,Up,74704.21,74719.82,104208.23
1470,04-16 07:30:00,Up,74719.82,74722.85,137908.47
1471,04-16 07:35:00,Down,74722.85,74647.83,83811.09
1472,04-16 07:40:00,Up,74647.83,74671.15,158829.70
1473,04-16 07:45:00,Down,74671.15,74612.35,90175.51
1474,04-16 07:50:00,Up,74612.35,74614.19,123663.33
1475,04-16 07:55:00,Up,74614.19,74629.20,113177.83
1476,04-16 08:00:00,Up,74629.20,74642.88,150785.27
1477,04-16 08:05:00,Up,74642.88,74758.63,108307.86
1478,04-16 08:10:00,Up,74758.63,74831.99,121430.45
1479,04-16 08:15:00,Up,74831.99,74934.05,122561.73
1480,04-16 08:20:00,Down,74934.05,74932.69,186549.58
1481,04-16 08:25:00,Up,74932.69,74974.44,155212.09
1482,04-16 08:30:00,Down,74974.44,74815.68,214866.36
1483,04-16 08:35:00,Down,74815.68,74624.42,183079.65
1484,04-16 08:40:00,Down,74624.42,74611.97,176003.22
1485,04-16 08:45:00,Down,74611.97,74498.88,126030.98
1486,04-16 08:50:00,Down,74498.88,73461.36,156120.60
1487,04-16 08:55:00,Up,73461.36,73794.18,189284.59
1488,04-16 09:00:00,Down,73794.18,73703.36,176029.22
1489,04-16 09:05:00,Up,73703.36,73940.13,126877.84
1490,04-16 09:10:00,Down,73940.13,73836.94,121765.05
1491,04-16 09:15:00,Down,73836.94,73590.23,147435.47
1492,04-16 09:20:00,Down,73590.23,73566.93,226178.78
1493,04-16 09:25:00,Up,73566.93,73780.42,151874.25
1494,04-16 09:30:00,Up,73780.42,73917.08,107041.54
1495,04-16 09:35:00,Down,73917.08,73896.14,125110.06
1496,04-16 09:40:00,Up,73896.14,73979.32,126776.81
1497,04-16 09:45:00,Up,73979.32,74084.02,116939.76
1498,04-16 09:50:00,Down,74084.02,74021.15,129489.45
1499,04-16 09:55:00,Down,74021.15,73978.69,138782.12
1500,04-16 10:00:00,Up,73978.69,74064.77,127546.62
