date,cap,pv,total,close,peak,dd,month
2024-05-19,10975.205502157021,1028.695768688444,12003.901270845465,67330.0,12059.79456661884,-0.4634680588016561,2024-05
2024-05-19,10975.205502157021,1021.1022430090169,11996.307745166037,66832.99,12059.79456661884,-0.5264336892481812,2024-05
2024-05-19,10975.205502157021,1024.417659343569,11999.62316150059,67049.99,12059.79456661884,-0.4989422065679503,2024-05
2024-05-19,10975.205502157021,1022.5538453405643,11997.759347497586,66928.0,12059.79456661884,-0.5143969806332086,2024-05
2024-05-19,10975.205502157021,1021.971432111656,11997.176934268677,66889.88,12059.79456661884,-0.5192263599869921,2024-05
2024-05-19,10975.205502157021,1018.4899393920504,11993.69544154907,66662.01,12059.79456661884,-0.5480949505784306,2024-05
2024-05-19,10975.205502157021,1019.3760875367693,11994.581589693791,66720.01,12059.79456661884,-0.540746996682325,2024-05
2024-05-19,10975.205502157021,1017.3318354374005,11992.537337594422,66586.21,12059.79456661884,-0.557697966187458,2024-05
2024-05-19,10975.205502157021,1008.895093963024,11984.100596120046,66034.01,12059.79456661884,-0.627655554832693,2024-05
2024-05-19,10975.205502157021,1010.8809825121721,11986.086484669193,66163.99,12059.79456661884,-0.6111885367738318,2024-05
2024-05-19,10975.205502157021,1012.6534315857728,11987.858933742795,66280.0,12059.79456661884,-0.5964913620930298,2024-05
2024-05-19,10975.205502157021,1013.930859971634,11989.136362128655,66363.61,12059.79456661884,-0.5858989064852395,2024-05
2024-05-19,10975.205502157021,1012.5619138722061,11987.767416029228,66274.01,12059.79456661884,-0.597250228366092,2024-05
2024-05-20,10975.205502157021,1015.4033937334965,11990.608895890518,66459.99,12059.79456661884,-0.5736886341316809,2024-05
2024-05-20,10975.205502157021,1016.3263628614701,11991.53186501849,66520.4,12059.79456661884,-0.5660353600823267,2024-05
2024-05-20,10975.205502157021,1018.6734331716725,11993.878935328694,66674.02,12059.79456661884,-0.5465734173664898,2024-05
2024-05-20,10975.205502157021,1018.6917672712184,11993.89726942824,66675.22,12059.79456661884,-0.5464213907341532,2024-05
2024-05-20,10975.205502157021,1025.677211982373,12000.882714139394,67132.43,12059.79456661884,-0.48849797692667973,2024-05
2024-05-20,10975.205502157021,1025.737256158386,12000.942758315407,67136.36,12059.79456661884,-0.48800008970579184,2024-05
2024-05-20,10975.205502157021,1014.6396257032465,11989.845127860268,66410.0,12059.79456661884,-0.5800218102569574,2024-05
2024-05-20,10975.205502157021,1020.982307441154,11996.187809598176,66825.14,12059.79456661884,-0.5274281968013513,2024-05
2024-05-20,10975.205502157021,1020.0176282367134,11995.223130393735,66762.0,12059.79456661884,-0.535427331439272,2024-05
2024-05-20,10975.205502157021,1022.0345319709263,11997.240034127948,66894.01,12059.79456661884,-0.5187031349940381,2024-05
2024-05-20,10975.205502157021,1025.3343643208646,12000.539866477886,67109.99,12059.79456661884,-0.4913408749513038,2024-05
2024-05-20,10975.205502157021,1023.565276498847,11998.770778655868,66994.2,12059.79456661884,-0.5060101780828435,2024-05
2024-05-20,10975.205502157021,1022.6820312532228,11997.887533410245,66936.39,12059.79456661884,-0.5133340610954735,2024-05
2024-05-20,10975.205502157021,1025.181427373819,12000.38692953084,67099.98,12059.79456661884,-0.49260903044268883,2024-05
2024-05-20,10975.205502157021,1023.7457145952112,11998.951216752233,67006.01,12059.79456661884,-0.5045139826429537,2024-05
2024-05-20,10975.205502157021,1030.0706733702248,12005.276175527246,67419.99,12059.79456661884,-0.45206732826527685,2024-05
2024-05-20,10975.205502157021,1041.8361234013237,12017.041625558344,68190.06,12059.79456661884,-0.35450803763138294,2024-05
2024-05-20,10975.205502157021,1043.9972553852979,12019.20275754232,68331.51,12059.79456661884,-0.33658789834511565,2024-05
2024-05-20,10975.205502157021,1050.0612588101078,12025.26676096713,68728.41,12059.79456661884,-0.28630508970097085,2024-05
2024-05-20,10975.205502157021,1069.4889873939317,12044.694489550953,69999.99,12059.79456661884,-0.12521006874929727,2024-05
2024-05-20,10975.205502157021,1061.8499320339652,12037.055434190986,69500.0,12059.79456661884,-0.1885532319994526,2024-05
2024-05-20,10975.205502157021,1065.1774183173848,12040.382920474407,69717.79,12059.79456661884,-0.1609616651196079,2024-05
2024-05-20,10975.205502157021,1063.2367538804504,12038.442256037471,69590.77,12059.79456661884,-0.17705368415206515,2024-05
2024-05-20,10975.205502157021,1091.5912027490149,12066.796704906035,71446.62,12066.796704906035,0.0,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71312.32,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71089.96,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71283.8,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71284.0,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,70910.0,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71209.86,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71205.41,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,70878.29,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,70916.0,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,70990.02,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71056.0,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71130.0,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,71349.99,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,9882.522708205257,0.0,9882.522708205257,70595.92,12066.796704906035,-18.10152313092928,2024-05
2024-05-21,8881.522708205257,994.5787235296318,9876.101431734889,70213.2,12066.796704906035,-18.154737555829282,2024-05
2024-05-21,8881.522708205257,989.1080107745605,9870.630718979817,69826.99,12066.796704906035,-18.20007446577198,2024-05
2024-05-21,8881.522708205257,986.8563225750157,9868.379030780272,69668.03,12066.796704906035,-18.218734664121307,2024-05
2024-05-21,8881.522708205257,989.533814418737,9871.056522623994,69857.05,12066.796704906035,-18.196545744317646,2024-05
2024-05-21,8881.522708205257,989.1469648670916,9870.669673072349,69829.74,12066.796704906035,-18.199751645279648,2024-05
