signal,trend,composite,tech_score,emotion_score,rsi,macd,bb_position,fear_greed,price_change_24h_pct,close,timestamp
SELL,bullish,45,66,8,77.82550281600163,728.7531273920031,0.8063436073981441,85,3.9244824066400286,71452.01,2024-10-29 11:00:00
NEUTRAL,bullish,47,63,18,68.14986510617511,691.6678256897139,0.6909011181204612,75,3.1926622173532593,71108.01,2024-10-29 12:00:00
NEUTRAL,bullish,47,68,8,73.89781158278052,710.250705259823,0.8846265756866892,85,4.3359640127817345,71804.0,2024-10-29 13:00:00
NEUTRAL,bullish,47,68,8,74.34352515686095,721.748736771915,0.8782142278366449,85,4.397283556072051,71867.09,2024-10-29 14:00:00
NEUTRAL,bullish,47,69,8,75.50244485358806,765.2037901016447,0.9936071530682521,84,5.7053151945712255,72402.01,2024-10-29 15:00:00
NEUTRAL,bullish,53,72,18,71.7708189893521,817.4469938203547,1.0256167315763047,75,5.865540413979065,72739.44,2024-10-29 16:00:00
NEUTRAL,bullish,51,69,18,76.82196099189446,847.631532416839,0.9615349665198477,76,5.417922996636904,72721.5,2024-10-29 17:00:00
NEUTRAL,bullish,51,69,18,78.7324596751634,897.3993443381041,1.016322481045451,75,5.718492657066432,73170.01,2024-10-29 18:00:00
NEUTRAL,bullish,52,71,18,67.77384168345384,875.6009138566005,0.8073100929013167,75,4.173748146990719,72536.16,2024-10-29 19:00:00
NEUTRAL,bullish,53,73,18,62.94844050193255,832.5943838342937,0.7299335699652121,74,3.86485319169223,72336.22,2024-10-29 20:00:00
NEUTRAL,bullish,47,63,18,65.83618639739748,785.722892975391,0.6962669716914691,75,3.5806622630425,72289.98,2024-10-29 21:00:00
NEUTRAL,bullish,47,63,18,67.86819136651704,769.5633728668327,0.7927811865794693,74,3.8568987438117874,72660.0,2024-10-29 22:00:00
NEUTRAL,bullish,47,63,18,67.16860406684299,754.2290095582284,0.7886361974044117,74,3.965297837218107,72736.42,2024-10-29 23:00:00
NEUTRAL,bullish,49,66,18,62.44219180639904,698.0070552901307,0.6189676303903401,74,3.3291605251391854,72289.99,2024-10-30 00:00:00
NEUTRAL,bullish,47,63,18,61.09811872859574,656.0050449058472,0.644270486300528,74,2.993546632668931,72415.36,2024-10-30 01:00:00
SELL,bullish,45,60,18,65.17726347662281,609.8485405317624,0.6010565027315193,74,1.6195240767495012,72342.99,2024-10-30 02:00:00
NEUTRAL,bullish,48,65,18,56.175463590593026,558.0418372126733,0.5399676486579327,75,1.8267465146393658,72234.0,2024-10-30 03:00:00
NEUTRAL,bullish,48,65,18,55.98468741613759,514.9221484331938,0.5391075916979214,75,1.6795940693796307,72282.0,2024-10-30 04:00:00
NEUTRAL,bullish,49,66,18,51.52485615611329,492.5016270426131,0.6152158534103047,75,2.0523792303461574,72498.0,2024-10-30 05:00:00
NEUTRAL,bullish,49,66,18,42.78542326691912,454.0316273543722,0.4982526365766477,76,1.4847480892566711,72306.31,2024-10-30 06:00:00
NEUTRAL,bullish,50,68,18,41.941772937296136,412.46941532107303,0.42872011403205273,76,1.703822286105905,72227.99,2024-10-30 07:00:00
NEUTRAL,bullish,53,72,18,32.32470498665971,376.27167751354864,0.36689309676291965,76,1.5566955946951566,72241.35,2024-10-30 08:00:00
NEUTRAL,bullish,49,66,18,50.85595473854326,370.3201544163312,0.6204522176606188,76,1.7876081570324942,72576.01,2024-10-30 09:00:00
NEUTRAL,bullish,49,66,18,50.898592348606066,345.64303342088533,0.40496913527974737,76,1.6954863279197152,72378.02,2024-10-30 10:00:00
NEUTRAL,bullish,49,66,18,44.277672844216056,290.937562174644,0.05880040192655277,76,0.7445276906835829,71983.99,2024-10-30 11:00:00
NEUTRAL,bullish,51,70,18,33.55294893729098,235.0437876976648,0.023116420276400606,77,1.0605837513945282,71862.17,2024-10-30 12:00:00
NEUTRAL,bullish,51,69,18,34.29547548573976,196.85654230747605,0.15467933578869048,76,0.22561417191242494,71966.0,2024-10-30 13:00:00
NEUTRAL,bullish,47,64,18,52.48346396323578,200.25597634869337,0.5940301247697083,76,0.75792688976275,72411.79,2024-10-30 14:00:00
