timestamp,type,price,size,sl,tp,atr,info,trend_1h,trend_d,rsi,capital,pnl,reason,hold_h,capital_after
2025-03-07 00:00:00,OPEN_LONG,85529.22,0.11902799152188297,83935.19714285714,90311.28857142857,1594.0228571428556,"score=8,d=neutral,1h=neutral,RSI=26.3",neutral,neutral,26.296332256001776,12648.889275045865,,,,
2025-03-07 14:00:00,CLOSE_LONG,90440.74,0.11902799152188297,,,,,,,,,576.2302205567667,TAKE_PROFIT,14.0,13225.119495602632
2025-03-08 04:00:00,OPEN_LONG,86444.53,0.1384207391282472,85011.38642857142,90743.96071428571,1433.143571428571,"score=7,d=neutral,1h=bearish,RSI=27.5",bearish,neutral,27.48256342697391,13225.119495602632,,,,
2025-03-09 10:00:00,CLOSE_LONG,84844.1,0.1384207391282472,,,,,,,,,-231.0166630305648,STOP_LOSS,30.0,12994.102832572067
2025-03-10 18:00:00,OPEN_LONG,77655.26,0.1394257647417759,76257.30071428571,81849.13785714285,1397.9592857142864,"score=7,d=neutral,1h=bearish,RSI=25.9",bearish,neutral,25.91494652108561,12994.102832572067,,,,
2025-03-11 00:00:00,OPEN_LONG,77673.6,0.12649922535472374,76132.78785714286,82296.03642857145,1540.8121428571446,"score=7,d=neutral,1h=bearish,RSI=29.8",bearish,neutral,29.790441321376605,12994.102832572067,,,,
2025-03-11 18:00:00,CLOSE_LONG,83280.94,0.1394257647417759,,,,,,,,,775.3892750886625,TAKE_PROFIT,24.0,13769.49210766073
2025-03-11 18:00:00,CLOSE_LONG,83280.94,0.12649922535472374,,,,,,,,,701.1799164496297,TAKE_PROFIT,18.0,14470.67202411036
2025-04-07 04:00:00,OPEN_LONG,76989.92,0.18717262326772763,75830.24142857143,80468.95571428571,1159.6785714285713,"score=7,d=neutral,1h=bearish,RSI=19.2",bearish,neutral,19.204335255409305,14470.67202411036,,,,
2025-04-07 05:00:00,OPEN_LONG,76942.82,0.1825157209605658,75753.55214285715,80510.62357142857,1189.267857142857,"score=7,d=neutral,1h=bearish,RSI=19.4",bearish,neutral,19.354701153745594,14470.67202411036,,,,
2025-04-07 06:00:00,CLOSE_LONG,74810.01,0.18717262326772763,,,,,,,,,-419.38458963153425,STOP_LOSS,2.0,14051.287434478825
2025-04-07 06:00:00,CLOSE_LONG,74810.01,0.1825157209605658,,,,,,,,,-400.3502656920082,STOP_LOSS,1.0,13650.937168786817
2025-04-07 06:00:00,OPEN_LONG,74810.01,0.15280419248249827,73469.96785714285,78830.13642857142,1340.0421428571437,"score=7,d=neutral,1h=bearish,RSI=16.5",bearish,neutral,16.54300958198108,13650.937168786817,,,,
2025-04-07 07:00:00,OPEN_LONG,75126.01,0.15645158468027054,73817.20857142856,79052.41428571429,1308.8014285714296,"score=7,d=neutral,1h=bearish,RSI=21.2",bearish,neutral,21.16822761818449,13650.937168786817,,,,
2025-04-07 14:00:00,CLOSE_LONG,79033.11,0.15280419248249827,,,,,,,,,635.9042357846047,TAKE_PROFIT,8.0,14286.841404571422
2025-04-07 17:00:00,CLOSE_LONG,79074.5,0.15645158468027054,,,,,,,,,608.0975519350013,TAKE_PROFIT,10.0,14894.938956506423
