signal,composite,technical_score,ai_score,price_score,rsi,macd,fear_greed,price_change_24h_pct,close,timestamp
NEUTRAL,59,63,45,80,68.04146972551801,166.11327445336792,74,2.9895421166335368,61916.53,2024-06-25 21:00:00
NEUTRAL,59,63,45,80,66.18077239619133,176.35033400823886,74,3.0991533911150393,61909.99,2024-06-25 22:00:00
BUY,60,67,45,80,56.167252981447184,174.0664309927306,75,2.5089189014368074,61806.01,2024-06-25 23:00:00
BUY,60,67,45,80,58.572988853497236,167.2389123225439,75,2.2490150906047113,61767.72,2024-06-26 00:00:00
NEUTRAL,59,63,45,80,65.99668851866178,185.6936038222775,74,2.641688157111677,62090.01,2024-06-26 01:00:00
NEUTRAL,59,63,45,80,67.85219584742806,193.09037233264826,75,2.2282282569338285,62028.01,2024-06-26 02:00:00
NEUTRAL,53,67,37,60,63.71315406083147,189.35085623869236,75,1.0333658006945523,61936.07,2024-06-26 03:00:00
NEUTRAL,55,71,37,60,48.92296925939195,166.4652427036708,75,0.5567588873425677,61712.96,2024-06-26 04:00:00
BUY,60,83,37,60,44.934575774040304,134.59628346450336,75,0.8816202016222796,61562.01,2024-06-26 05:00:00
NEUTRAL,58,79,37,60,54.58131840162887,109.3064004883563,75,0.7156401073149521,61577.21,2024-06-26 06:00:00
NEUTRAL,53,67,37,60,57.77515477743273,99.63898333623365,75,1.7052933534326797,61720.02,2024-06-26 07:00:00
NEUTRAL,58,78,37,60,29.158395104449355,71.1825284924198,77,1.0061761297874616,61472.48,2024-06-26 08:00:00
NEUTRAL,50,78,27,40,30.801690469624745,40.43821169464354,77,-0.14850000837833832,61376.73,2024-06-26 09:00:00
NEUTRAL,50,78,27,40,29.6424758225277,6.921174754010281,77,-0.08622380974202537,61264.3,2024-06-26 10:00:00
NEUTRAL,50,59,37,60,36.863846938604844,-4.981930253656174,77,0.42103274452161,61445.26,2024-06-26 11:00:00
NEUTRAL,47,52,37,60,36.71545329365254,-15.351007621444296,77,0.6273044174214926,61431.47,2024-06-26 12:00:00
NEUTRAL,52,65,37,60,48.864281517977425,2.9075329892148147,77,0.9150326797385588,61760.0,2024-06-26 13:00:00
NEUTRAL,47,71,27,40,49.01964668650971,14.637186937856313,77,-0.057169743136076256,61728.13,2024-06-26 14:00:00
NEUTRAL,47,72,27,40,34.105714942646046,2.898002003741567,77,-0.553535026694707,61467.86,2024-06-26 15:00:00
NEUTRAL,41,56,27,40,31.953087601723198,-21.796208437554014,77,-0.188955825223025,61274.01,2024-06-26 16:00:00
NEUTRAL,41,56,27,40,32.896844367123734,-43.4486387441284,77,-0.22716964606891432,61242.0,2024-06-26 17:00:00
SELL,34,56,20,20,31.221643264076476,-86.40038740319142,77,-2.009472789900879,60910.02,2024-06-26 18:00:00
SELL,39,52,27,40,36.47074117227895,-111.88873307735048,76,-1.573929423032916,61000.01,2024-06-26 19:00:00
SELL,39,52,27,40,35.8866386583061,-131.11363372716005,76,-1.5028903974403485,60993.36,2024-06-26 20:00:00
NEUTRAL,41,56,27,40,33.24608252248811,-139.8164062165888,77,-1.3924875958003513,61054.35,2024-06-26 21:00:00
SELL,39,52,27,40,35.34174153605767,-155.3910979821885,77,-1.5916332727561322,60924.61,2024-06-26 22:00:00
SELL,39,52,27,40,36.03847916712128,-170.57866448821005,77,-1.5225380185519222,60864.99,2024-06-26 23:00:00
SELL,39,52,27,40,42.317363900591054,-171.19970759704302,77,-1.2720560189043773,60982.0,2024-06-27 00:00:00
SELL,39,52,27,40,39.03388923724774,-163.1931777524369,77,-1.6524397403060442,61064.01,2024-06-27 01:00:00
SELL,39,52,27,40,38.573881207931606,-157.81423638982233,77,-1.6097888679646566,61029.49,2024-06-27 02:00:00
NEUTRAL,42,59,27,40,24.877462056690945,-151.1776955913083,77,-1.4511091840344492,61037.31,2024-06-27 03:00:00
SELL,37,47,27,40,29.297383307375583,-138.1359876085262,77,-0.9705254779547201,61114.02,2024-06-27 04:00:00
SELL,37,47,27,40,28.374319259249745,-150.95520799114456,77,-1.2288585119296869,60805.5,2024-06-27 05:00:00
SELL,37,47,27,40,31.01437483048565,-164.34319879814575,77,-1.3563459598120775,60742.01,2024-06-27 06:00:00
SELL,37,47,27,40,34.237359698814444,-168.81136027031607,77,-1.50033976009728,60794.01,2024-06-27 07:00:00
SELL,34,39,27,40,48.104318467607335,-164.64548837221082,78,-0.9865878194600275,60866.0,2024-06-27 08:00:00
SELL,33,36,27,40,59.50263803474803,-126.25791935378948,77,-0.15307104174497876,61282.78,2024-06-27 09:00:00
SELL,34,39,27,40,53.526363839731125,-108.52557417577918,77,-0.25184324312854667,61110.01,2024-06-27 10:00:00
SELL,38,48,27,40,54.21890541337349,-86.53475588330912,77,-0.4056293357697638,61196.02,2024-06-27 11:00:00
SELL,36,44,27,40,62.30805080496246,-56.68377567258722,77,-0.1458373045606809,61341.88,2024-06-27 12:00:00
NEUTRAL,52,63,37,60,74.63227083433698,19.051593730931927,76,0.3724093264248607,61990.0,2024-06-27 13:00:00
NEUTRAL,52,63,37,60,65.41224176938198,57.4297709703751,75,0.0030132129387405726,61729.99,2024-06-27 14:00:00
NEUTRAL,53,67,37,60,60.24557850627754,74.55957056287298,75,0.1759293393327921,61576.0,2024-06-27 15:00:00
NEUTRAL,53,67,37,60,63.16125165216869,98.18468909758667,75,0.7189997847374396,61714.57,2024-06-27 16:00:00
NEUTRAL,53,67,37,60,64.78129270192052,125.74961456954043,75,0.9798994154338603,61842.11,2024-06-27 17:00:00
NEUTRAL,53,67,37,60,64.30361178437278,149.1262414826706,75,1.5964040070911123,61882.39,2024-06-27 18:00:00
NEUTRAL,53,67,37,60,61.46878781407934,131.24916864842817,75,0.7376884036576437,61450.0,2024-06-27 19:00:00
NEUTRAL,53,67,37,60,63.46337231395776,119.1861723407128,75,0.8193514835057369,61493.11,2024-06-27 20:00:00
NEUTRAL,53,67,37,60,63.34418328627692,111.80147526382643,75,0.7889527936993934,61536.04,2024-06-27 21:00:00
NEUTRAL,53,67,37,60,63.76100955435535,113.03555618349492,75,1.1742381280733794,61640.01,2024-06-27 22:00:00
NEUTRAL,53,67,37,60,58.604554814968324,118.01592663412885,75,1.3825353458531753,61706.47,2024-06-27 23:00:00
NEUTRAL,53,67,37,60,59.23734763169668,108.88879890589305,75,0.9478206683939616,61560.0,2024-06-28 00:00:00
NEUTRAL,55,72,37,60,65.54591229452163,142.93496608284477,75,1.6834465997237924,62091.99,2024-06-28 01:00:00
